NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT01406860,Droperidol Versus Metoclopramide + Diphenhydramine for the Treatment of Primary Headaches,https://clinicaltrials.gov/study/NCT01406860,,TERMINATED,The purpose of this study is to determine if droperidol is equally as effective as metoclopramide for treatment of primary headaches in the Emergency Department.,YES,"Primary Headaches (Includes Migraines, Tension, Cluster Headaches)",DRUG: Droperidol|DRUG: Metoclopramide + diphenhydramine,"Pain Scale (Numerical Rating Scale for Pain), Numerical Rating Scale for Pain on a scale of 0-10 with 10 representing the worst pain, Change in pain scores at 60 minutes from baseline as measured on the Numerical Rating Scale for Pain (NRS)","Length of Stay, Participants will be followed for the duration of their emergency department visit after the initiation of treatment (Average Length of stay in minutes)|24 Hour Pain Score, 24 hour pain score (follow-up phone call), 24 hours after discharge from ED|Adverse Effects, Frequency of adverse effects in each arm, From the time when the treatment is initiated until the 24 hour follow-up phone survey",,University of Iowa,,ALL,ADULT,NA,19,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",201008798|University of Iowa,2011-07,2012-07,2012-07,2011-08-01,2017-12-05,2017-12-05,"University of Iowa Hospitals and Clinics, Iowa City, Iowa, 52242, United States",
NCT06917144,Refractory Chronic Cluster Headache: Exploring the Potential of Repetitive Transcranial Magnetic Stimulation,https://clinicaltrials.gov/study/NCT06917144,,COMPLETED,"The goal of this clinical trial is to learn if drug ABC works to treat severe asthma in adults. It will also learn about the safety of drug ABC. The main questions it aims to answer are:

Does Transcranial Magnetic Stimulation lower the number of attacks per week in patients with refractory cluster headache ?

Researchers will compare transcranial magnetic stimlation to a sham stimulation (a look-alike stimulation) to see if it works to prevent attacks of cluster headache.

Participants will:

Recieve stimulation for 10 minutes for 10 consecutive working days in 2 periods of time, separated by a 1 month washout period.

Visit the clinic for each treatment day. Keep a diary of their symptoms and the number of times they use a rescue medication",NO,Refractory Chronic Cluster Headache,DEVICE: Repetitive Transcranial Magnetic Stimulation|DEVICE: Sham Stimulation,"Reduction in number of attacks per week, The mean change in the number of attacks per week at the end of each treatment period was compared with the baseline, from the time of informed consent until the last follow-up moment (3 months after the end of the second treatment period)., From enrollment to the end to follow up period, at 3 months after last treatment period (week 8)","Assessing the reduction in symptomatic medication use., The use of symptomatic medication was assessed through electronic questionnaires completed by the patient.

The mean change in the use of symptomatic medication at the end of each treatment period was compared with the baseline, from the time of informed consent until the last follow-up moment (3 months after the end of the second treatment period)., From enrollment to the end of follow up period, at 3 months after second treatment period (week 8)|To assess the reduction in intensity of cluster headache attacks, The intensity of the attacks of cluster headache was assessed through electronic questionnaires completed by the patient, using the visual analogue scale from 1 to 10.

The mean change in the intensity at the end of each treatment period was compared with the baseline, from the time of informed consent until the last follow-up moment (3 months after the end of the second treatment period)., From enrollment to the end of follow up period, at 3 months after second treatment period (week 8)|To assess the change in duration in cluster headache attacks, The duration of the attacks of cluster headache was assessed through electronic questionnaires completed by the patient (minutes). The mean change in the duration at the end of each treatment period was compared with the baseline, from the time of informed consent until the last follow-up moment (3 months after the end of the second treatment period)., From enrollment to the end of follow up period, at 3 months after second treatment period (week 8)|To assess the tolerability to treatment, The tolerability to treatment was assessed through electronic questionnaires completed by the patient, reporting any symptom experienced during treatment. It was then evaluated its possible relationship to rTMS. The adverse effects were evaluated from the time of informed consent until the last follow-up moment (3 months after the end of the second treatment period)., From enrollment to the end of follow up period, at 3 months after second treatment period (week 8)",,Hospital Universitario La Paz,,ALL,"ADULT, OLDER_ADULT",NA,8,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",PI-6581,2023-12-21,2024-05-31,2024-05-31,2025-04-08,,2025-04-08,"Hospital Universitario La Paz, Madrid, Madrid, Spain",
NCT02782533,DBS of the Third Ventricle for Cluster Headache and Obesity,https://clinicaltrials.gov/study/NCT02782533,DBS V3,COMPLETED,Study of Deep Brain Stimulation of the Third ventricle in Cluster Headache and Obesity treatment.,NO,Cluster Headache|Obesity,DEVICE: Deep Brain Stimulation V3,"Quality of Life Questionnaire, weekly up to 3 years",,,"University Hospital, Grenoble",,ALL,"ADULT, OLDER_ADULT",NA,13,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,CHU Grenoble,2008-11,2019-06,2019-06,2016-05-25,,2019-07-19,"CLINATEC, Grenoble, 38000, France",
NCT02081482,Cerebral Metabolism in Patients With Refractory Chronic Cluster Headache Treated by Occipital Nerve Stimulation,https://clinicaltrials.gov/study/NCT02081482,MET-ONS,UNKNOWN,"The occipital nerve stimulation (ONS) is used to treat patients with refractory primary chronic headache but its mechanism of action (MoA) remains unknown. Different hypothesis have been suggested in particular a specific action on cerebral generators involved in different types of primary headaches or a non specific action on pain modulatory network.

The aim of this study, using the chronic cluster headache as a model, is to determine the changes in cerebral metabolism induced by ONS to precise its MoA in the treatment of primary chronic headache.",NO,Refractory Chronic Cluster Headache,RADIATION: 18F-FDG PET,"Comparison of cerebral metabolism, Changes of cerebral metabolism associated with ONS efficacy, Baseline (before ONS), 1 week after ONS , 3 month after ONS",,,Centre Hospitalier Universitaire de Nice,,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,13-AOI-05,2014-03,2015-07,2016-08,2014-03-07,,2016-03-21,"CHU -Hôpital Gabriel Montpied, Clermont-Ferrand, 63000, France|Institut des Neurosciences, Marseille, 13385, France|Département d'Evaluation et Traitement de la Douleur - Pôle Neurosciences Cliniques - Centre Hospitalo-Universitaire de Nice, Nice, 06000, France|Centre d'Urgence Céphalées, Paris, 75010, France",
NCT01589588,Administration of Oxygen to Cluster Headache Patients,https://clinicaltrials.gov/study/NCT01589588,,COMPLETED,This study will investigate the possible difference in treatment effect between three different oxygen delivery systems in the acute treatment of cluster headaches.,NO,Cluster Headache Attacks,DEVICE: Open Hudson Mask|DEVICE: Cluster headache mask with 3 L reservoir|DEVICE: Mask 3|DEVICE: Carnét oxygen demand valve|DEVICE: Carnét oxygen demand valve,"Efficacy, Pain relief after 15 minutes of treatment, 15 minutes","Mask preference, subject mask preference, 2 days",,Mads Barløse,,ALL,"ADULT, OLDER_ADULT",NA,57,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",H-2-2011-163,2012-04,2014-12,2014-12,2012-05-02,,2015-10-12,"Danish Headache Center, Glostrup Municipality, 2600, Denmark",
NCT03397563,Continuous Positive Airway Pressure as a Potential New Treatment for Cluster Headache,https://clinicaltrials.gov/study/NCT03397563,CPAP,COMPLETED,"Cluster headache is also called suicide headache due to excruciating nocturnal attacks. There are few treatment options available. Inhalation of oxygen has shown to abort the attacks.

Continuous positive airway pressure (CPAP) is a machine used during sleep to treat respiratory failure. Automatic CPAP machines adjust the air pressure through the night to keep the upper airways patent.

Single reports have shown a high prevalence of obstructive sleep apnea in people suffering from cluster headache, and positive effects of CPAP treatment, but no randomized controlled trial has been conducted so far.

If proven effective CPAP would make an affordable treatment option for many patients within the existing healthcare system.",NO,Cluster Headache|Chronic Disease,DEVICE: Continuous Positive Airway Pressure|DEVICE: sham Continuous Positive Airway Pressure,"change from baseline in number of cluster headache attacks per week at week 9-12, 12 weeks|change from baseline in number of cluster headache attacks per week at week 21-24, 24 weeks","Change from baseline in the number of nightly cluster attacks per week at week 9-12, 12 weeks|Change from baseline in the number of nightly cluster attacks per week at week 21-24, 24 weeks|Change from baseline in cluster headache start time per week at week 9-12, 12 weeks|Change from baseline in cluster headache start time per week at week 21-24, 24 weeks|Change from baseline in the number of days with cluster headache per week at week 9-12, 12 weeks|Change from baseline in the number of days with cluster headache per week at week 21-24, 24 weeks|Change from baseline in the number of hours with cluster headache per week at week 9-12, 12 weeks|Change from baseline in the number of hours with cluster headache per week at week 21-24, 24 weeks|Change from baseline in use of acute treatment per week at week 9-12, 12 weeks|Change from baseline in use of acute treatment per week at week 21-24, 24 weeks|Change from baseline in subjective sleep quality in week 12, according to sleep diary, 12 weeks|Change from baseline in subjective sleep quality in week 24, according to sleep diary, 24 weeks|Change from the night of PSG registration in apnea-hypopnea index (AHI) during sleep to week 12, 12 weeks|Change from the night of PSG registration in apnea-hypopnea index (AHI) during sleep to week 24, 24 weeks|Change from the night of PSG registration in oxygen desaturation index (ODI) during sleep to week 12, 12 weeks|Change from the night of PSG registration in oxygen desaturation index (ODI) during sleep to week 24, 24 weeks|Change from baseline in heat/cold pain thresholds at week 12 according to thermal test, 12 weeks|Change from baseline in pressure pain thresholds at week 12 according to algometry test, 12 weeks|Change from baseline in heat/cold pain thresholds at week 24 according to thermal test., 24 weeks|Change from baseline in pressure pain thresholds at week 24 according to algometry test, 24 weeks",,St. Olavs Hospital,Norwegian University of Science and Technology,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2017/1491,2018-01-16,2019-08-21,2019-08-21,2018-01-12,,2020-03-31,"St Olavs Hospital, Trondheim, Norway",
NCT02895256,Long-term Prognosis of Cluster Headache: a Retrospective Cohort Study,https://clinicaltrials.gov/study/NCT02895256,,UNKNOWN,"Cluster headache is a syndrome characterized by disabling headache and accompanying autonomic symptoms. Despite cluster headache is called ""suicide headache"", its natural history has not been well investigated. The investigators aimed to investigate its disease course, overall prognosis, and treatment pattern in retrospective cohort.",NO,Cluster Headache|Disease Course,DRUG: Any treatment for cluster headache,"overall prognosis, active disease: at least one bout within the past 5 years Remission: no headache for 5 years and twice of the usual remission period, at least 5 years after the first visit|Changes in the length of active/inactive periods, at least 5 years after the first visit|Changes in seasonal and diurnal predilections, at least 5 years after the first visit|Changes in autonomic symptoms, at least 5 years after the first visit|Changes in treatment responses, at least 5 years after the first visit","Any depression, at least 5 years after the first visit|Any suicidal thoughts (active/passive), plans, and attempts, ictal vs interictal, at least 5 years after the first vis",,Samsung Medical Center,,ALL,"CHILD, ADULT, OLDER_ADULT",,70,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2016-04-155,2016-04,2021-04,2021-04,2016-09-09,,2020-03-20,"Samsung Medical Center, Seoul, South Korea",
NCT02585739,Cluster Headache and SPINK-1 Gene,https://clinicaltrials.gov/study/NCT02585739,,COMPLETED,"Cluster headache (CH) is a rare, excruciating primary headache disorder. A genetic basis has been suggested by family and twin studies, but the mode of transmission seems to vary and the amount of heritability is unclear.

The number of genetic association studies investigating variants implicated in the pathophysiology of CH is limited. The HCRTR2 1246G \> A and the ADH4 925A \> G polymorphisms have been associated with CH. The former has been confirmed and may affect the hypothalamic hypocretin system. The aim of the present study was to investigate the possible link between SPINK 1 gene and cluster headache.",NO,Episodic or Chronic Cluster Headache,GENETIC: blood sample,"SPINK1 genotyping, 2 months",,,Assistance Publique Hopitaux De Marseille,,ALL,"ADULT, OLDER_ADULT",NA,42,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SCREENING,2011-19|RC12_3011,2011-10,2013-11,2015-07,2015-10-23,,2015-10-23,"APHM, Marseille, France",
NCT06816849,Hydration in Children and Adolescents With Primary Headaches,https://clinicaltrials.gov/study/NCT06816849,H20KIDS,COMPLETED,The aim of this study is to investigate the role of hydration and fluid intake in children and adolescents with primary headaches.,NO,"Primary Headaches (Includes Migraines, Tension, Cluster Headaches)|Hydration|Adolescent|Children",OTHER: Recommended water intake,"Headache frequency, Number of headache episodes over last three months., 4 months|Headache intensity, Headache severity measured with the Visual Analog Scale (0 - 10)., 4 months|Headache duration, Average length of headache episode measured in minutes., 4 months","Change in total body water, Change in total body water (liter and %) assessed with bioelectrical impedance analysis (BIA 101 AKern) following the intervention., 4 months|Effect of nutritional advice on type of drink they have choosen, Type of fluid they had increased during intervention., 4 months|Change in extracellular water, Change in extracellular water (liter and %) assessed with bioelectrical impedance analysis (BIA 101 AKern) following the intervention., 4 months|Change in phase angle, Change in phase angle (°) assessed with bioelectrical impedance analysis (BIA 101 AKern) following the intervention., 4 months",,University Medical Centre Ljubljana,,ALL,"CHILD, ADULT",NA,60,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,KME:0120-423/2023-2711-6|Master Research,2023-03-01,2023-10-31,2024-06-30,2025-02-10,,2025-02-10,"University Medical Centre Ljubljana, Ljubljana, 1000, Slovenia",
NCT04970355,Efficacy of Erenumab in Chronic Cluster Headache,https://clinicaltrials.gov/study/NCT04970355,CHERUB01,COMPLETED,The main purpose of this study is to evaluate the efficacy of erenumab in participants with chronic cluster headache.,NO,"Cluster Headache|Trigeminal Autonomic Cephalalgias|Headache Disorders, Primary|Brain Disease",BIOLOGICAL: Erenumab|DRUG: Placebo,"Reduction of weekly cluster headache attack frequency from baseline over the last 2 weeks of the double-blind epoch (averaged for 7 days)., Number of cluster headache attacks was recorded daily by study participants in their ePRO Diary, Baseline and 6 weeks of daily data during double-blind treatment phase will be converted into 7-calendar day intervals: The baseline 7-10 day interval, Week 5+6., Baseline; Weeks 5-6 (Days 29-42)","Percentage of participants with a 50% or greater reduction from baseline in the weekly number of cluster headache attacks averaged per 7 days over the last 2 weeks of the DB epoch., A 50% responder is any participant who has a ≥50% reduction from baseline in the weekly number of cluster headache attacks in a 7-day interval: Weeks 5+6, Baseline; Weeks 5-6 (Days 29-42)|Patient Global Impression of Improvement (PGI-I) at week 6., PGI-I requests participants to mark the box that best describes their cluster headache condition since they started taking the medicine. The options in the displayed boxes are represented on a 7-point scale, with 1 = very much better, 2 = much better, 3 = a little better, 4 = no change, 5 = a little worse, 6 = much worse, and 7 = very much worse., Baseline; Week 6","Reduction from baseline in the weekly number of CH attacks in each of the last 2 weeks of the double blind epoch., Number of cluster headache attacks was recorded daily by study participants in their ePRO Diary, Baseline and 6 weeks of daily data during double-blind treatment phase will be converted into 7-calendar day intervals: The baseline 7-10 day interval, week 5 and week 6., Baseline, Week 5; Week 6|Reduction from baseline in the number of weekly CH attacks over the entire double-blind trial period (day 1-42)., Number of cluster headache attacks was recorded daily by study participants in their ePRO Diary, Baseline and 6 weeks of daily data during double-blind treatment phase will be converted into 7-calendar day intervals: The baseline 7-10 day interval; week 1-week 6, Baseline, Weeks 1- 6|Safety and tolerability of erenumab/placebo, Number of AEs, TEAEs, SAEs, and number of patients discontinue study participation stratified for treatment and non-treatment related discontinuation., Baseline; Week 1-Week 10|Discontinuation of the study due to intolerable attack frequency or severity during the double-blind epoch of the study., To compare erenumab with placebo in reduction of frequency and intensity of CH attacks assessed by the rate of patients discontinuing the study due to intolerable attack frequency or severity., Baseline; Week 1-Week 6|Number of patients achieving at least a 30% reduction from baseline in weekly CH attacks averaged over the last 2 weeks (days 29-42) of the double-blind epoch, A 30% responder is any participant who has a ≥30% reduction from baseline in the weekly number of cluster headache attacks in a 7-day interva in Weeks 5+6, Baseline, Week 5-Week 6|Number of patients achieving at least a 70 % reduction from baseline in weekly CH attacks averaged over the last 2 weeks (days 29-42) of the double-blind epoch., A 70% responder is any participant who has a ≥70% reduction from baseline in the weekly number of cluster headache attacks in a 7-day interval: Weeks 5+6, Baseline, Week 5-Week 6|Change from baseline in SF-12 quality of life at week 6 (day 42). Difference between erenumab and placebo scores at week 6, This information will help keep track of how participants feel and how well they are able to do usual activities., Baseline; Week 6|Change from baseline in HIT-6 quality of life at week 6 (day 42). Difference between erenumab and placebo scores at week 6 and improvement of HIT-6 scores from baseline., This information will allow to assess the impact of attacks on headache related disability. The recall period for 3 questions is 4weeks \& the remaining questions do not have a specific recall period., Baseline; Week 6|Change from baseline in average duration in minutes of recorded CH attacks over the last 2 weeks (days 29-42) of the double-blind epoch., Duration of CH attacks was recorded daily by study participants in their ePRO Diary, Baseline and 6 weeks of daily data during double-blind treatment phase will be converted into 7-calendar day intervals: The baseline 7-10 day interval, Week 5+6., Baseline: Weeks 5-6|Change from baseline in frequency of acute medication per week averaged over week 5 and 6 (days 29-42)., Baseline data and the mean change from baseline in the overall weekly average number of days with the use of cluster-specific acute headache medications (as liosted in the protocoll) during weeks 5-6 after administration of the first dose of study drug (based on Week 0 to 5-6 data) is reported., Baseline: Weeks 5-6|Change from baseline in average intensity in average numerical pain rating scale value of recorded attacks over week 5 and 6 (days 29-42)., Participants marked the level of CH-associated pain using the numerical pain ratiung scale., Baseline: Weeks 5-6|Discontinuation of treatment due to all-cause during the double-blind epoch of the study, Rate of patients discontinuing treatment due to any cause during the double-blind treatment period., Weeks 1-8","Charite University, Berlin, Germany",,ALL,ADULT,PHASE2,101,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",CAMG334ADE07T|2020-004399-16,2021-12-02,2023-09-27,2023-09-27,2021-07-21,,2024-01-23,"LMU Klinikum München, München, Bavaria, 81377, Germany|Kopfschmerzzentrum Frankfurt, Frankfurt am Main, Hesse, 65929, Germany|Vitos - Orthopädische Klinik gGmbH, Kassel, Hesse, 34131, Germany|Universitätsmedizin Greifswald, Greifswald, Mecklenburg-Vorpommern, 17475, Germany|Universitätsklinikum Rostock, Rostock, Mecklenburg-Vorpommern, 18147, Germany|Praxis für Neurologie, Nervenheilkunde, Psychosomatik, Essen, North Rhine-Westphalia, 45133, Germany|Universitätsklinikum Essen, Essen, North Rhine-Westphalia, 45147, Germany|Universitätsklinik Dresden, Dresden, Saxony, 01307, Germany|Universitätsklinikum Halle, Halle, Saxony-Anhalt, 06120, Germany|Schmerzklinik Kiel - Migräne- und Kopfschmerzzentrum, Kiel, Schleswig-Holstein, 24149, Germany|Charité Universitätsmedizin Berlin, Berlin, 10117, Germany",
NCT04845451,The Presence and Role of Zygomatic-temporal Neuroma Triggering Cluster Headache,https://clinicaltrials.gov/study/NCT04845451,,COMPLETED,"Role of a neuroma of zygomatic-temporal in triggering of a cluster headache. Exploratory diagnosis, resection, and pathological examination of tumor anticipated

.",NO,Cluster Headache|Craniofacial Pain Syndrome,OTHER: Minimal surgical exploration for a neuroma,"Presence of Neuroma, Zygomaticotemporal neuroma as trigger of Episodic and Chronic Cluster headache, 6 months|Resolution of Cluster Headache attacks, Resection of a ZT-neuroma may eradicate Cluster Headache trigger, 6 months",,,"FARO T. OWIESY, M.D","Ohsi, Steven, M.D|Radfar, Amir, M.D",ALL,"ADULT, OLDER_ADULT",,5,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,CoronaDMC,2021-06-09,2022-09-30,2022-10-30,2021-04-15,,2022-11-30,"Corona Doctors Medical Clinics Inc, Corona, California, 92879, United States",
NCT02910323,The Will Erwin Headache Research Center - Cluster Headache Study,https://clinicaltrials.gov/study/NCT02910323,WEC1,RECRUITING,"The Will Erwin Headache Research Center Study of Cluster Headache and Trigeminal Neuralgia is a prospective, multicenter, observational research network for subjects with Cluster Headache and/or Trigeminal Neuralgia.",NO,Cluster Headache|Cluster Headaches and Other Trigeminal Autonomic Cephalgias|Paroxysmal Hemicrania|SUNCT|Hemicrania Continua|Trigeminal Neuralgia,,"HIT-6 scale, Through study completion, an average of 5 years|Morningness-eveningness scale, Through study completion, an average of 5 years|GAD-7 scale, Through study completion, an average of 5 years","Genetic markers, Results of GWAS or other genetic tests, Through study completion, an average of 5 years|Molecular biomarkers, Results of ELISAs for autonomic, hypothalamic, and pain signalling molecules, Through study completion, an average of 5 years",,"The University of Texas Health Science Center, Houston",,ALL,"ADULT, OLDER_ADULT",,1500,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,HSC-MS-15-0780,2016-05,2035-12,2035-12,2016-09-22,,2024-12-06,"The University of Texas Health Science Center at Houston, Houston, Texas, 77030, United States",
NCT02619617,Safety and Efficacy Study of SOM230 s.c. in Cluster Headache,https://clinicaltrials.gov/study/NCT02619617,,TERMINATED,The purpose of this study was to determine if SOM230 is safe and effective for the treament of cluster headache.,YES,Cluster Headache - Episodic and Chronic,DRUG: SOM230|DRUG: Placebo,"Number of Participants With Headache Response (PD Analysis Set), Defined as very severe, severe, or moderate pain before dosing that becomes mild or nil at 30 minutes post-dosing, 30 minutes post dose","Number of Participants Who Were Pain Free at 30 Minutes Post Dose, Participants who were pain free 30 minutes after dosing and reporting improvement of associated autonomic symptoms (for example, lacrimation, blushing, pupil constriction, etc.) over time was tabulated by dose., 30 mins post dose|Change in Hemoglobin Values From Screening to End of Study, Change in hemoglobin values from screening and end of study, screening and end of study, up to 9 days after treatment|Pulse Rate, Vital signs by treatment and time point, screening and end of study, up to 9 days after treatment",,Novartis Pharmaceuticals,,ALL,"ADULT, OLDER_ADULT",PHASE2,28,INDUSTRY,INTERVENTIONAL,"Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",CSOM230Y2201,2016-10-31,2018-09-25,2018-09-25,2015-12-02,2020-01-13,2021-01-05,"Novartis Investigative Site, Culver City, California, 90230, United States|Novartis Investigative Site, Philadelphia, Pennsylvania, 19107, United States|Novartis Investigative Site, Königstein im Taunus, Taunus, 61462, Germany|Novartis Investigative Site, London, SE5 9RS, United Kingdom","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/17/NCT02619617/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/17/NCT02619617/SAP_001.pdf"
NCT04353505,Intra-arterial Sphenopalatine Ganglion Block for Patients With Refractory Headache,https://clinicaltrials.gov/study/NCT04353505,,WITHDRAWN,"The purpose of this study is to evaluate the safety and efficacy of intra-arterial (IA) delivery of Dexamethasone and Ketorolac into the arteries supplying the sphenopalatine ganglion (SPG) - a collection of neurons that plays an important role in headache disorders - in patients with refractory migraine, cluster headache and trigeminal neuralgia. All patients must fail standard treatments prior to enrollment in the trial.",NO,Chronic Migraine|Cluster Headache|Trigeminal Neuralgia,DRUG: Ketorolac|DRUG: Dexamethasone,"Number of Procedure-Related Adverse Events, up to 1 hour post-procedure|Number of Procedure-Related Adverse Events, 5 hours post procedure|Number of Procedure-Related Adverse Events, 2 weeks post procedure","Change in Number of Days of Headache in Subjects with Chronic Migraine, 1 week, 2 weeks, 4 weeks, 6 weeks|Proportion of Chronic Migraine Patients that achieve at least 50% reduction in days of headache frequency, 1 week, 2 weeks, 4 weeks, 6 weeks|Proportion of patients with Cluster Headache that achieve 50% reduction in median number of attacks per day, 1 week, 2 weeks, 4 weeks, 6 weeks|Change in number of days of facial pain for subjects with trigeminal neuralgia, 1 week, 2 weeks, 4 weeks, 6 weeks|Proportion of patients with trigeminal neuralgia that achieve at least 50% reduction in days of facial pain frequency, 1 week, 2 weeks, 4 weeks, 6 weeks",,Weill Medical College of Cornell University,,ALL,"ADULT, OLDER_ADULT",PHASE1,0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,19-11021096,2020-10,2022-06,2023-06,2020-04-20,,2020-08-04,"Weill Cornell Medicine, New York, New York, 10021, United States",
NCT05153876,An Open Internet-based Survey and Natural Language Processing Project Analysing Written Monologues by Headache Patients,https://clinicaltrials.gov/study/NCT05153876,NLPH-OPEN,COMPLETED,Headache disorders are among the most prevalent medical conditions worldwide. The diagnosis of headache disorders is based on medical history taking. Digital solutions such as natural language processing (NLP) may be of aid to understand the linguistic aspects of headache attack and headache related disability descriptions by patients. Participants will provide a written description of their headache disorder. The results will hopefully lead to a better understanding of the potential use of NLP in headache disorders.,NO,Headache Disorders|Tension-Type Headache|Migraine Disorders|Cluster Headache|TACS|Secondary Headache Disorder,OTHER: Questionnaires,"Lexical diversity and differences between migraine and cluster headache, Chi-square measurement of a word token used by migraine patients versus cluster headache patients, through study completion, an average of 1 year","Accuracy of machine learning experiments for the correct classification of headache disorders, Machine learning experiments to investigate the potential to build modelling algorithms that accurately classify the self-given diagnosis by the patient based on text., through study completion, an average of 1 year|F1 scores of machine learning experiments for the correct classification of headache disorders, Machine learning experiments to investigate the potential to build modelling algorithms that accurately classify the self-given diagnosis by the patient based on text., through study completion, an average of 1 year|Word counts, Counts of word tokens of different headache disorder groups, through study completion, an average of 1 year|Sentences counts, Counts of sentence tokens of different headache disorder groups, through study completion, an average of 1 year|Paragraph counts, Counts of paragraph tokens of different headache disorder groups, through study completion, an average of 1 year|Term-frequency inverse document frequency scores (TF-IDF), TF-IDF scores of word tokens of different headache disorder groups, through study completion, an average of 1 year|Migraine Disabillity Assessment [MIDAS] score calculation with text input, Machine learning experiments to investigate the potential to build modelling algorithms that accurately predict the impact score from Migraine Disabillity Assessment \[MIDAS\] based on text., through study completion, an average of 1 year|Migraine Specific Questionaire versie 2.1 [MSQv2.1] score calculation with text input, Machine learning experiments to investigate the potential to build modelling algorithms that accurately predict the impact score from Migraine Specific Questionaire versie 2.1 \[MSQv2.1\] based on text., through study completion, an average of 1 year|RAND SF-36 Dutch version score calculation with text input, Machine learning experiments to investigate the potential to build modelling algorithms that accurately predict the impact score from RAND SF-36 Dutch version based on text., through study completion, an average of 1 year",,"University Hospital, Ghent",,ALL,"ADULT, OLDER_ADULT",,1150,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,BC-10635,2021-10-11,2023-12-31,2024-01-01,2021-12-10,,2024-05-16,"University Hospital, Ghent: Department of Neurology, Ghent, 9000, Belgium",
